이름,전화번호,이메일,주소,생년월일
권영자,051-876-4759,ujingweon@minbag.net,전라북도 안양시 동안구 오금거리,19860805
김시우,016-387-7840,ojunho@yuhanhoesa.net,인천광역시 영등포구 언주길,19560605
박미경,053-871-4841,hyeonsugjo@naver.com,강원도 계룡시 삼성342길 (도윤나면),19481225
김정훈,041-018-6848,jiweoncoe@coebagjang.net,부산광역시 노원구 서초중앙거리 (영진서동),19510719
이보람,061-012-3098,gimseungmin@yuhanhoesa.kr,인천광역시 동대문구 서초중앙길,19630518
김정순,010-6914-1314,ggim@dreamwiz.com,부산광역시 강남구 논현57길,19501109
김지연,018-225-8419,gyeongsujang@naver.com,울산광역시 서구 테헤란071거리 (민서김리),19620914
이성호,017-924-6610,seonghyeon37@ojangyang.com,경상북도 단양군 역삼가 (영호김마을),19861002
백은영,02-0754-7063,hyeonjii@igimo.com,인천광역시 성동구 양재천거리,19760313
김예은,055-104-7142,munyejun@gmail.com,서울특별시 중랑구 잠실59로,19830822
성은영,063-765-8236,gimyeonghwan@nate.com,부산광역시 노원구 도산대거리 (성진최면),19970611
최성민,063-304-2814,jaeho11@dreamwiz.com,전라남도 가평군 서초중앙로 (지훈이서읍),19611130
강영미,017-111-3306,imisug@heoano.com,강원도 양주시 강남대길 (승현김류동),19830919
박정숙,033-764-3039,gimjunseo@ju.kr,경상북도 청양군 서초대57가,19721206
양유진,044-055-5082,jeongjacoe@dreamwiz.com,부산광역시 구로구 학동길,19470309
이정훈,062-522-7586,jangeunju@yuhanhoesa.kr,경상남도 의정부시 압구정로 (재호최면),19920722
고진우,052-666-0223,minseog07@live.com,경상남도 당진시 오금길,19490612
이경희,062-670-1720,sugjagim@giman.org,강원도 성남시 중원구 백제고분519거리 (하은이면),19531224
문정순,033-830-6753,eunyeong10@gmail.com,전라북도 수원시 팔달구 언주로 (미경노김마을),20000902
김동현,032-162-0766,uheo@gimgim.com,대전광역시 은평구 압구정길,19750201
김하윤,043-031-0450,seungmingim@ogim.com,전라남도 연천군 양재천85길,19480507
김옥자,052-262-2358,yujini@janggojo.kr,부산광역시 광진구 양재천629가,19671223
이상호,017-580-6606,sgim@dreamwiz.com,대구광역시 동구 강남대로,19670105
임지우,062-626-6237,jeonghungang@daum.net,충청남도 김포시 반포대가 (영수김면),19610822
김정자,063-173-8640,jiyeong00@ison.net,경상남도 부천시 영동대39로 (민재이마을),19870922
박상호,042-164-4829,isugja@seobaei.kr,대구광역시 동대문구 봉은사가 (서현김장면),19720210
서서윤,063-857-0742,sonyeongsu@nate.com,경상북도 수원시 오금로 (건우김강면),19701207
한지민,044-294-3167,agim@live.com,경상남도 제천시 서초대거리,20051226
백시우,055-676-3373,ogim@jusighoesa.com,부산광역시 강남구 영동대70가 (명숙한김면),19451114
김성현,052-021-6396,mgim@ju.com,서울특별시 구로구 논현거리 (영길박읍),19640715
김지민,052-486-4753,cunja10@bagiheo.kr,경상남도 속초시 학동로 (상철권리),19881016
김은영,061-860-2373,cunja56@yu.org,제주특별자치도 당진시 잠실443로 (수빈오읍),19601026
김수빈,070-0886-0164,yeongsig84@jusighoesa.com,인천광역시 은평구 양재천220거리 (서윤김김리),19581022
김현준,041-379-3323,sumin27@daum.net,대전광역시 강서구 양재천3길,19970306
박현정,063-851-4296,eunyeong60@ju.net,전라남도 속초시 강남대거리,19500605
이아름,010-0250-7003,gimareum@ju.com,경상북도 평택시 양재천5가 (경수손박리),19840907
최미영,055-208-2982,yeongil23@jusighoesa.net,울산광역시 남구 백제고분가,19930531
강경희,053-600-7154,wgim@yuhanhoesa.org,경상북도 수원시 서초대87로 (춘자김이동),19540228
박경수,070-0494-3885,yeonggil95@hanmail.net,대구광역시 남구 삼성로 (서연곽면),19610324
이영식,055-962-0290,jeonghogim@dreamwiz.com,인천광역시 용산구 강남대8길 (아름김동),20030928
강유진,055-644-4064,hyeonji36@hotmail.com,대구광역시 동구 영동대08가,19791211
안지연,02-5823-5703,seungmin61@gimomun.org,인천광역시 동대문구 학동64거리,19581109
권성현,053-140-7043,oi@live.com,세종특별자치시 은평구 석촌호수거리,19750309
김영수,064-720-1955,gimsangho@gimnamhong.com,울산광역시 북구 가락거리 (영숙최이면),19660211
김하윤,063-080-8625,coeeunji@yu.net,광주광역시 구로구 테헤란82로 (순옥김면),20031120
김은지,062-937-8252,jeongjeongsug@nate.com,부산광역시 성동구 백제고분97거리,19450201
박혜진,017-125-0220,donghyeonyun@naver.com,경기도 계룡시 영동대로 (민석이배면),19960607
최지원,061-207-4361,gimjeonghun@hotmail.com,경기도 용인시 수지구 잠실771로 (은영고이마을),19610528
류성진,033-702-8400,seongjin82@hotmail.com,충청북도 청양군 백제고분거리,19721230
박춘자,018-603-3452,yeongsig67@yanggim.kr,대구광역시 영등포구 오금가,19830917
김민서,02-5800-0199,yeongsugi@yuhanhoesa.com,전라남도 양구군 잠실가,19790912
이재호,033-663-7636,li@yu.com,충청남도 의왕시 백제고분거리 (현숙김양동),19810819
